fname,first_label,first_possibility,second_label,second_possibility
clip_48a85866b.wav,unknown,8.92389,right,8.89106
clip_9505406ae.wav,off,13.2836,up,12.1889
clip_6f7b92a7b.wav,unknown,8.48977,no,8.04422
clip_26119bc5e.wav,unknown,9.23631,go,9.1202
clip_5d198252b.wav,no,12.0688,go,11.1747
clip_10ef0ddff.wav,off,7.20391,up,6.64743
clip_e59680db8.wav,stop,4.15741,off,4.06326
clip_136cbf3e8.wav,unknown,4.87051,left,4.49015
clip_bf4d1aafb.wav,unknown,6.57817,up,6.20791
clip_9cab3a1dd.wav,down,10.1498,go,9.83672
clip_b549d091e.wav,no,7.6862,unknown,7.6505
clip_5f6d950ce.wav,unknown,13.569,on,13.1129
clip_539188585.wav,no,6.70424,unknown,6.68933
clip_e2c22368e.wav,unknown,6.31132,on,5.86309
clip_2538de32b.wav,unknown,8.17414,off,8.08834
clip_b96d9530c.wav,unknown,3.41246,up,3.13977
clip_9767f74dd.wav,up,16.2278,off,14.6058
clip_68e7ceac6.wav,left,7.44614,unknown,7.09712
clip_9edf98873.wav,unknown,11.2983,go,10.6585
clip_aa3cd9a41.wav,unknown,8.83852,left,8.77414
clip_fcac499eb.wav,off,10.1737,unknown,9.44102
clip_152a2b9ed.wav,right,11.5732,left,11.4026
clip_0338560a7.wav,unknown,6.74191,left,6.41243
clip_c8248f0e0.wav,stop,8.29588,unknown,7.74049
clip_b09e0595d.wav,up,10.8953,off,10.1124
clip_5f2d3bdd6.wav,unknown,10.1794,go,10.1346
clip_0d932553b.wav,stop,5.61413,up,5.48959
clip_d5f472e03.wav,yes,7.63189,off,7.54947
clip_da36af3f6.wav,unknown,10.6241,down,10.0228
clip_a200d65c4.wav,unknown,8.51625,on,8.06792
clip_17358481c.wav,unknown,15.3124,stop,14.9524
clip_f80546e36.wav,on,11.3865,unknown,11.0443
clip_ab72cd68a.wav,off,16.9419,up,15.9221
clip_3838a775a.wav,unknown,10.4551,on,10.0085
clip_0df17e2c5.wav,stop,8.12116,unknown,8.01395
clip_d71d9e883.wav,right,12.5433,unknown,11.4979
clip_241901d67.wav,silence,3.15708,unknown,2.89007
clip_9bfcde446.wav,go,11.7946,no,11.6095
clip_4187fc817.wav,silence,7.89544,off,7.28486
clip_d086f3cdf.wav,unknown,13.6806,yes,12.4875
clip_f0cbc2b61.wav,on,7.09963,unknown,6.52217
clip_e9075cbdd.wav,unknown,3.97779,go,3.76674
clip_08ac45f26.wav,stop,5.60649,unknown,5.38716
clip_59b2362e3.wav,down,8.56753,unknown,8.01883
clip_20aad9324.wav,go,9.56418,unknown,8.8734
clip_8302cf790.wav,stop,5.80654,unknown,5.32095
clip_60a2ae4a7.wav,yes,6.01977,unknown,5.61388
clip_57cb51fd7.wav,go,12.5729,no,11.5612
clip_fe0e2b6c5.wav,unknown,8.72729,left,8.25989
clip_a52fdecc6.wav,unknown,10.9806,on,10.3593
clip_5188d4b05.wav,right,10.027,unknown,9.23999
clip_a94b35b8f.wav,yes,10.843,unknown,10.7888
clip_295ac3519.wav,unknown,10.4121,down,9.77534
clip_b1f23ba69.wav,on,9.35819,up,8.57841
clip_969ef4c7f.wav,unknown,7.98906,on,7.53836
clip_ec36c1dce.wav,go,8.02002,no,7.67585
clip_bebf04cd4.wav,unknown,8.57872,go,8.39859
clip_ae2e0efb3.wav,unknown,7.98514,down,7.19366
clip_67e4c5e61.wav,no,9.22194,unknown,8.92001
clip_dad49de18.wav,go,7.18804,unknown,6.86313
clip_8c91bb000.wav,no,11.6508,go,10.7559
clip_53548d63c.wav,unknown,11.5163,go,10.5579
clip_a728297b2.wav,left,12.7513,unknown,12.4678
clip_b3f6bb576.wav,no,12.4029,unknown,11.666
clip_f6f96bd6f.wav,yes,9.66319,left,8.74342
clip_9bb53bf3f.wav,go,8.03823,no,7.30092
clip_30cfaacdb.wav,on,11.545,unknown,10.7709
clip_4ea4e4915.wav,up,2.60759,unknown,2.5923
clip_352c0c31e.wav,yes,4.31414,unknown,4.20787
clip_eb05dd18e.wav,unknown,9.25336,no,9.232
clip_911ab7bee.wav,unknown,1.68688,silence,1.60978
clip_f211f04bd.wav,on,9.25213,off,8.99343
clip_2aa5a8ee6.wav,unknown,15.2776,on,13.7804
clip_d55ac2443.wav,unknown,8.69988,go,8.66086
clip_428d25547.wav,unknown,8.06572,right,7.9947
clip_9968cbda3.wav,unknown,16.4767,right,14.9979
clip_47ea96961.wav,on,9.97669,down,9.83842
clip_def92040a.wav,no,12.2121,down,12.1977
clip_2b64e7887.wav,go,6.81348,down,6.37594
clip_74435872d.wav,unknown,10.1417,right,9.37843
clip_1324b68fb.wav,on,4.56761,off,4.5196
clip_e0b5b6957.wav,left,5.52757,unknown,5.10507
clip_800a2bd75.wav,no,12.8576,go,12.6511
clip_7e76afbd5.wav,unknown,9.12864,go,8.96332
clip_c826eb958.wav,right,18.0978,unknown,16.9655
clip_1bc9cb9f5.wav,off,7.38152,unknown,6.89528
clip_6e67af9f7.wav,unknown,9.01162,left,8.2931
clip_220a1947f.wav,off,16.5147,on,16.4797
clip_4d77ae926.wav,on,12.6895,unknown,12.4058
clip_4d6deab0f.wav,unknown,8.59956,left,7.85624
clip_59243f2ae.wav,unknown,4.31135,down,4.12082
clip_b0bb34188.wav,go,10.5978,unknown,9.91936
clip_906ea4fb7.wav,no,18.0585,go,16.263
clip_0e0873707.wav,unknown,6.39054,left,6.31748
clip_1852649f5.wav,unknown,10.6947,stop,10.004
clip_317780195.wav,unknown,15.5924,on,14.1714
clip_b94efe55c.wav,unknown,4.14081,left,3.78291
clip_6c17d27f1.wav,up,12.581,off,11.8089
clip_77e19c187.wav,on,11.2406,unknown,11.1374
clip_92c78c24b.wav,on,11.0631,unknown,10.3588
clip_c655d5069.wav,left,6.75332,yes,6.5076
clip_b2f3b6521.wav,down,12.4135,unknown,11.6105
clip_70383737b.wav,up,8.05144,unknown,7.25008
clip_561599070.wav,unknown,7.83566,stop,7.49301
clip_324e73e9e.wav,unknown,18.5797,right,16.7712
clip_01a1bc9ae.wav,unknown,11.6829,down,10.7843
clip_15ca2fb68.wav,no,8.23506,unknown,7.75951
clip_afc768abb.wav,unknown,6.73876,down,6.37155
clip_4e09576b1.wav,go,9.19198,no,8.85886
clip_64f24ee57.wav,on,8.35143,unknown,7.69146
clip_61306432a.wav,unknown,8.3835,off,7.70184
clip_299c48b7e.wav,on,14.0353,unknown,13.5677
clip_a01675796.wav,up,5.92256,unknown,5.54444
clip_4e1b14b6f.wav,left,8.6028,unknown,8.15113
clip_a8e6b2e29.wav,yes,8.54629,left,8.05143
clip_a7ba1f14c.wav,unknown,2.99051,up,2.86617
clip_34a20e8e9.wav,unknown,9.00696,on,8.95491
clip_de5fc585f.wav,unknown,14.2581,go,13.0803
clip_d0427e0b2.wav,no,12.3089,unknown,12.0397
clip_28e584b75.wav,unknown,10.6912,down,9.90043
clip_da164280b.wav,down,14.9659,unknown,13.7667
clip_3fcbbbcf8.wav,unknown,9.95517,on,9.78716
clip_bc2bd3975.wav,no,8.28366,unknown,7.70743
clip_1aa24d9df.wav,left,9.60422,unknown,8.87234
clip_a2ef9ab17.wav,unknown,7.29211,left,6.6885
clip_6498d5082.wav,right,23.1949,unknown,21.0886
clip_850f0ddc8.wav,unknown,8.41098,off,7.76367
clip_9df6311bf.wav,right,11.266,left,11.2227
clip_3f218e2e2.wav,unknown,7.4841,go,7.4583
clip_b9f683f3b.wav,off,5.29555,unknown,5.22905
clip_444db5050.wav,go,8.42261,unknown,8.00318
clip_6627aa377.wav,on,8.56967,unknown,7.80135
clip_a9b92b4d0.wav,unknown,13.3703,on,13.2223
clip_d39e18510.wav,off,8.73193,on,8.25338
clip_2753bdfc6.wav,right,13.5463,unknown,13.3835
clip_02e587a38.wav,unknown,2.96606,on,2.83989
clip_9d17e9c37.wav,on,16.1501,unknown,15.6181
clip_bdf115f6c.wav,unknown,15.5652,go,14.5258
clip_71bc456ca.wav,off,13.6254,up,13.2547
clip_46a7eb25c.wav,left,5.56766,right,5.49634
clip_8ae2e82b9.wav,go,3.27132,unknown,3.17653
clip_864ece659.wav,left,6.53714,unknown,6.38871
clip_d0f636bb5.wav,unknown,10.2871,down,10.1537
clip_2762c4c9e.wav,no,5.1064,silence,4.69025
clip_af49026dc.wav,go,7.65497,unknown,7.52671
clip_c042bc810.wav,unknown,5.98365,off,5.95754
clip_bebc1c99d.wav,unknown,7.14727,no,6.99502
clip_d8ce09e60.wav,no,11.9618,unknown,11.2387
clip_41d56c517.wav,no,11.4342,down,10.7381
